Title: The HD 191939 Exoplanet System is Well-Aligned and Flat 
Authors: Lubin J., Petigura E.A., Van Zandt J., Beard C., Dai F., Halverson S.,
         Holcomb R., Howard A., Isaacson H., Luhn J., Robertson P., 
         Rubenzahl R.A., Stefansson G., Winn J.N., Brodheim M., Deich W., 
         Hill G.M., Gibson S.R., Holden B., Householder A., Laher R.R., 
         Lanclos K., Payne J., Roy A., Smith R., Shaum A.P., 
         Schwab C., Walawender J. 
Table: Observations
================================================================================
Byte-by-byte Description of file: ajad79edt3_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1- 13 F13.5  d       BJD     Barycentric Julian Date
  15- 22 F8.2   m/s     RVel    Radial velocity from Inst
  24- 28 F5.2   m/s   e_RVel    Uncertainty in RVel
  30- 37 A8     ---     Inst    Instrument used
  39- 47 A9     ---     Source  Source identifier (1)
--------------------------------------------------------------------------------
Note (1):
            A = Orell-Miquel et al. (2023) [2023A&A...669A..40O];
            B = Lubin et al. (2022) [2022AJ....163..101L];
            C = Polanski et al. (2024) [2024ApJS..272...32P];
    This work = These three are the only RVs used in this study that 
                have not been previously published.
--------------------------------------------------------------------------------
2459378.12036     0.11  0.99 HIRES    C
2459378.92143     1.84  2.53 APF      C
2459380.80067     8.45  4.03 APF      C
2459380.80067     8.45  4.03 APF      C
2459381.83261   -11.19  3.34 APF      C
2459382.08905    -2.66  1.04 HIRES    C
2459383.83536   -13.66  3.16 APF      C
2459384.83025    -1.27  2.83 APF      C
2459385.88631     2.17  2.61 APF      C
2459387.90822     0.95  4.37 APF      C
2459388.79938    10.46  4.43 APF      C
2459389.84763     6.24  2.53 APF      C
2459390.53676    24.42  3.74 CARMENES A
2459390.82489    -2.44  3.58 APF      C
2459391.50661    24.57  4.09 CARMENES A
2459391.83201     0.09  2.59 APF      C
2459392.83849     4.86  2.72 APF      C
2459393.70051 -9216.97  0.79 HARPS-N  A
2459393.79847     8.16  2.72 APF      C
2459394.70363 -9211.81  1.74 HARPS-N  A
2459394.80552     7.06  2.78 APF      C
2459395.82504    12.89  2.63 APF      C
2459397.82445    20.86  2.47 APF      C
2459398.53619    37.42  2.87 CARMENES A
2459398.82983    16.01  2.41 APF      C
2459399.82155    19.79  2.92 APF      C
2459400.05357    13.25  1.07 HIRES    C
2459400.51895    37.44  3.46 CARMENES A
2459401.78796    10.43  2.53 APF      C
2459402.64627    46.17  3.61 CARMENES A
2459402.81164    26.11  2.52 APF      C
2459404.62657    53.37  3.91 CARMENES A
2459404.81991    19.52  2.85 APF      C
2459405.70650 -9196.81  1.66 HARPS-N  A
2459405.79591    29.28  2.52 APF      C
2459406.78783    27.53  2.74 APF      C
2459407.02582    25.65  1.55 HIRES    C
2459407.78632    25.49  2.77 APF      C
2459408.79552    26.44  2.65 APF      C
2459409.62209    47.05  3.14 CARMENES A
2459410.56892 -9195.56  1.23 HARPS-N  A
2459411.63442 -9194.28  1.08 HARPS-N  A
2459411.65177 -9195.06  1.05 HARPS-N  A
2459411.66936 -9195.85  1.01 HARPS-N  A
2459411.80004    28.31  2.26 APF      C
2459412.04151    31.46  1.09 HIRES    C
2459412.78976    35.84  2.34 APF      C
2459413.79613    34.76  2.66 APF      C
2459414.79276    11.73  4.44 APF      C
2459415.79130    36.56  2.52 APF      C
2459416.77248    28.31  2.78 APF      C
2459417.81546    28.68  2.59 APF      C
2459418.01647    31.30  1.03 HIRES    C
2459418.77943    30.56  2.60 APF      C
2459419.79181    22.85  2.54 APF      C
2459420.78243    37.78  2.41 APF      C
2459420.88084    30.48  1.02 HIRES    C
2459421.78488    37.43  2.89 APF      C
2459424.77408    35.80  2.62 APF      C
2459425.79719    41.64  2.47 APF      C
2459426.79574    40.49  3.66 APF      C
2459427.78654    34.31  2.20 APF      C
2459428.59291    56.96  3.32 CARMENES A
2459429.57751    53.17  2.21 CARMENES A
2459430.97974    41.70  2.45 APF      C
2459432.65190 -9181.41  0.99 HARPS-N  A
2459439.00210    18.33  8.31 APF      C
2459439.92015    37.89  3.61 APF      C
2459441.10697    33.20  1.11 HIRES    C
2459442.06738    31.58  0.97 HIRES    C
2459445.60805    26.29  2.78 CARMENES A
2459447.50725    23.98  2.51 CARMENES A
2459450.98670    24.83  0.99 HIRES    C
2459453.65289    27.65  1.97 CARMENES A
2459454.63916    19.29  3.27 CARMENES A
2459455.92250    14.74  0.95 HIRES    C
2459459.41760    25.83  2.80 CARMENES A
2459461.55773    17.41  3.05 CARMENES A
2459463.98590    14.91  2.94 APF      C
2459464.88751     3.97  2.78 APF      C
2459464.88751     3.97  2.78 APF      C
2459468.55657 -9213.46  1.19 HARPS-N  A
2459468.56808 -9217.86  4.05 HARPS-N  A
2459469.34647 -9218.77  1.14 HARPS-N  A
2459469.92065     1.34  2.67 APF      C
2459471.44966 -9228.01  1.57 HARPS-N  A
2459475.92716     1.64  3.35 APF      C
